id,name,primary_muscles,secondary_muscles,body_part,equipment,difficulty,risk_level,impact,suitable_for,!suitable_for,description
,seated leg raise,abs,hip flexors,waist,body weight,,,,,,"Sit on a flat bench with your back straight and your feet flat on the ground. Place your hands on the sides of the bench for support. Keeping your legs straight, slowly raise them up in front of you until they are parallel to the ground. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,russian twist,abs,obliques,waist,body weight,,,,,,"Sit on the ground with your knees bent and feet flat on the floor. Lean back slightly while keeping your back straight and your core engaged. Hold your hands together in front of your chest or hold a weight if desired. Lift your feet off the ground, balancing on your sit bones. Twist your torso to the right, bringing your hands or weight towards the right side of your body. Pause for a moment, then twist your torso to the left, bringing your hands or weight towards the left side of your body. Continue alternating sides for the desired number of repetitions."
,reverse plank with leg lift,abs,"glutes, hamstrings, shoulders",waist,body weight,,,,,,"Sit on the ground with your legs extended in front of you and your hands resting on the ground behind you, fingers pointing towards your feet. Press through your hands and lift your hips off the ground, coming into a reverse plank position. Engage your core and lift one leg off the ground, extending it straight up towards the ceiling. Hold for a moment, then lower your leg back down. Repeat with the other leg. Continue alternating legs for the desired number of repetitions."
,pelvic tilt,abs,lower back,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands by your sides. Engage your abs and tilt your pelvis upward, pressing your lower back into the ground. Hold this position for a few seconds, focusing on contracting your abs. Release the tilt and return to the starting position. Repeat for the desired number of repetitions."
,reverse crunch,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your arms extended along your sides. Bend your knees and lift your feet off the ground, bringing your thighs perpendicular to the floor. Contract your abs and curl your hips off the floor, bringing your knees towards your chest. Pause for a moment at the top, then slowly lower your hips back down to the starting position. Repeat for the desired number of repetitions."
,quarter sit-up,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,prisoner half sit-up  ,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,frog crunch,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,sit-up with arms on chest,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Cross your arms over your chest. Engaging your abs, lift your upper body off the ground towards your knees. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,hip raise (bent knee),abs,"glutes, hamstrings",waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands by your sides, palms facing down. Engage your core and glutes, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders. Pause for a moment at the top, then slowly lower your hips back down to the starting position. Repeat for the desired number of repetitions."
,hanging straight twisting leg hip raise,abs,"obliques, hip flexors",waist,body weight,,,,,,"Hang from a pull-up bar with your arms fully extended and your legs straight. Engage your core and lift your legs up towards your chest, keeping them straight. Once your legs are parallel to the ground, twist your hips to one side, bringing your legs towards that side. Pause for a moment, then return to the starting position. Repeat the movement, but this time twist your hips to the opposite side. Continue alternating sides for the desired number of repetitions."
,hanging straight leg raise,abs,hip flexors,waist,body weight,,,,,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up in front of you, keeping them straight. Continue lifting until your legs are parallel to the ground or as high as you can comfortably go. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,hanging straight leg hip raise,abs,hip flexors,waist,body weight,,,,,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up in front of you until they are parallel to the ground. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,mountain climbers,abs,"glutes, quadriceps, hamstrings, shoulders, triceps",waist,body weight,,,,,,"Start in a high plank position with your hands directly under your shoulders and your body in a straight line. Engage your core and lift your right foot off the ground, bringing your right knee towards your left elbow. Return your right foot to the starting position and repeat the movement with your left foot towards your right elbow. Continue alternating sides, moving at a controlled pace. Keep your hips level and avoid lifting your hips too high or sagging them too low. Maintain a steady breathing pattern throughout the exercise. Repeat for the desired number of repetitions."
,butt-ups,abs,"hip flexors, lower back",waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands by your sides, palms facing down. Engaging your abs, lift your legs off the ground, bringing your knees towards your chest. At the top of the movement, squeeze your abs and pause for a moment. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,hanging pike,abs,"hip flexors, shoulders",waist,body weight,,,,,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up towards the bar, keeping them straight. Continue lifting until your body forms a 'V' shape, with your legs parallel to the ground. Hold the position for a moment, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,hanging oblique knee raise,abs,obliques,waist,body weight,,,,,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your knees towards your chest, twisting your torso to the side as you do so. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat on the other side, twisting your torso in the opposite direction. Continue alternating sides for the desired number of repetitions."
,hanging leg raise,abs,hip flexors,waist,body weight,,,,,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up in front of you, keeping them straight. Continue lifting until your legs are parallel to the ground or as high as you can comfortably go. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,half sit-up  ,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,flag,abs,"obliques, shoulders",waist,body weight,,,,,,"Start by gripping a vertical pole with both hands, palms facing each other, and arms fully extended. Engage your core and lift your legs off the ground, keeping them straight. Using your core and upper body strength, raise your legs until they are parallel to the ground. Hold this position for as long as you can, maintaining a straight body line. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,full planche,abs,"shoulders, chest, triceps",waist,body weight,,,,,,"Start in a push-up position with your hands shoulder-width apart and your fingers pointing forward. Engage your core and slowly shift your weight forward, lifting your feet off the ground. Continue shifting your weight forward until your body is parallel to the ground, balancing on your hands. Hold this position for as long as you can, maintaining a straight body line. Slowly lower your feet back to the ground and return to the starting position. Repeat for the desired number of repetitions."
,front plank with twist,abs,"obliques, shoulders",waist,body weight,,,,,,"Start in a high plank position with your hands directly under your shoulders and your body in a straight line from head to toe. Engage your core and glutes to maintain a stable position. Rotate your torso to the right, lifting your right arm and extending it towards the ceiling. Keep your hips and legs stable as you twist. Hold for a moment, then return to the starting position. Repeat the twist on the left side. Continue alternating sides for the desired number of repetitions."
,front lever,abs,"lats, shoulders, forearms",waist,body weight,,,,,,"Start by hanging from a pull-up bar with an overhand grip, hands shoulder-width apart. Engage your core and pull your shoulder blades down and back. Bend your knees and tuck them towards your chest. Simultaneously, lift your legs up and extend them straight out in front of you, keeping your body parallel to the ground. Hold this position for as long as you can, aiming for a full front lever position. To release, slowly lower your legs back down and return to the starting position. Repeat for the desired number of repetitions."
,flexion leg sit up (bent knee),abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. At the same time, lift your legs off the ground, bending your knees and bringing them towards your chest. Pause for a moment at the top, then slowly lower your upper body and legs back down to the starting position. Repeat for the desired number of repetitions."
,inchworm,abs,"shoulders, hamstrings",waist,body weight,,,,,,"Start in a standing position with your feet hip-width apart. Bend forward at the waist and place your hands on the ground in front of you. Walk your hands forward until you are in a high plank position, with your body in a straight line from head to toe. Pause for a moment, then walk your hands back towards your feet, keeping your legs as straight as possible. Once your hands reach your feet, stand back up to the starting position. Repeat for the desired number of repetitions."
,bodyweight incline side plank,abs,"obliques, shoulders",waist,body weight,,,,,,"Start by lying on your side with your legs extended and stacked on top of each other. Place your forearm on the ground directly below your shoulder, with your elbow bent at a 90-degree angle. Engage your core and lift your hips off the ground, creating a straight line from your head to your feet. Hold this position for the desired amount of time. Lower your hips back down to the ground and repeat on the other side."
,leg pull in flat bench,abs,"hip flexors, lower back",waist,body weight,,,,,,"Sit on a flat bench with your legs extended straight out in front of you. Place your hands on the bench beside your hips for support. Engage your abs and lift your legs off the ground, bringing your knees towards your chest. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
,knee touch crunch,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, lift your shoulder blades off the ground and reach your right hand towards your left knee. Return to the starting position and repeat, this time reaching your left hand towards your right knee. Continue alternating sides for the desired number of repetitions."
,elbow-to-knee,abs,obliques,waist,body weight,,,,,,"Start by lying flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engage your abs and lift your upper body off the ground, bringing your right elbow towards your left knee. At the same time, bring your left knee towards your right elbow, creating a twisting motion. Pause for a moment at the top, then slowly lower your upper body and extend your legs back to the starting position. Repeat the movement, this time bringing your left elbow towards your right knee and your right knee towards your left elbow. Continue alternating sides for the desired number of repetitions."
,tuck crunch,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, lift your shoulder blades off the ground and bring your knees towards your chest, simultaneously curling your upper body towards your knees. Pause for a moment at the top, then slowly lower your shoulder blades and extend your legs back to the starting position. Repeat for the desired number of repetitions."
,45 deg. side bend,abs,obliques,waist,body weight,,,,,,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides. Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. Pause for a moment at the bottom, then slowly return to the starting position. Repeat on the other side. Continue alternating sides for the desired number of repetitions."
,air bike,abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your hands placed behind your head. Lift your legs off the ground and bend your knees at a 90-degree angle. Bring your right elbow towards your left knee while simultaneously straightening your right leg. Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg. Continue alternating sides in a pedaling motion for the desired number of repetitions."
,alternate heel touchers,abs,obliques,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms straight out to the sides, parallel to the ground. Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel. Return to the starting position and repeat on the left side, reaching your left hand towards your left heel. Continue alternating sides for the desired number of repetitions."
,spine twist,abs,"obliques, lower back",waist,body weight,,,,,,"Sit on the ground with your legs extended in front of you. Bend your knees and place your feet flat on the ground, hip-width apart. Place your hands behind your head with your elbows pointing outwards. Engage your abs and slowly twist your torso to the right, bringing your right elbow towards your left knee. Pause for a moment at the end of the twist, then slowly return to the starting position. Repeat the twist to the left side, bringing your left elbow towards your right knee. Continue alternating sides for the desired number of repetitions."
,decline sit-up,abs,"hip flexors, lower back",waist,body weight,,,,,,"Lie on a decline bench with your feet secured and your knees bent. Place your hands behind your head or across your chest. Engage your abs and lift your upper body off the bench, curling forward towards your knees. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,bent knee lying twist  ,abs,"obliques, hip flexors",upper legs,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms out to the sides, perpendicular to your body. Keeping your knees together, slowly lower them to one side, aiming to touch the ground with your knees. Pause for a moment, then engage your core and slowly lift your knees back to the starting position. Repeat the movement to the other side. Continue alternating sides for the desired number of repetitions."
,basic toe touch  ,abs,"hamstrings, calves",upper legs,body weight,,,,,,"Stand with your feet shoulder-width apart and your arms by your sides. Bend forward at the waist, keeping your back straight and your knees slightly bent. Reach down towards your toes with your hands, keeping your legs as straight as possible. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions."
,decline crunch,abs,hip flexors,waist,body weight,,,,,,"Lie on a decline bench with your feet secured and your knees bent at a 90-degree angle. Place your hands behind your head or across your chest. Engage your abs and lift your upper body towards your knees, curling your torso. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,dead bug,abs,"hip flexors, lower back",waist,body weight,,,,,,"Lie flat on your back with your arms extended towards the ceiling. Bend your knees and lift your legs off the ground, creating a 90-degree angle at your hips and knees. Engage your core and lower back to press your lower back into the ground. Slowly lower your right arm and left leg towards the ground, keeping them straight and hovering just above the floor. Pause for a moment, then return to the starting position. Repeat the movement with your left arm and right leg. Continue alternating sides for the desired number of repetitions."
,crunch (hands overhead),abs,hip flexors,waist,body weight,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms straight above your head. Engaging your abs, lift your upper body off the ground, curling forward towards your knees. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,cable standing lift,abs,"obliques, lower back",waist,cable,,,,,,"Stand facing the cable machine with your feet shoulder-width apart. Hold the cable handle with both hands and position it at waist height. Engage your core and maintain a straight back throughout the exercise. Keeping your arms straight, exhale and lift the cable handle up towards your opposite shoulder, rotating your torso. Pause for a moment at the top, then inhale and slowly lower the cable handle back to the starting position. Repeat for the desired number of repetitions, then switch sides."
,cable standing crunch,abs,obliques,waist,cable,,,,,,"Attach a cable handle to a high pulley and stand facing away from the machine. Hold the handle with both hands and place it behind your head, keeping your elbows bent. Stand with your feet shoulder-width apart and your knees slightly bent. Keeping your abs engaged, exhale and crunch your torso down towards your knees, bringing your elbows towards your thighs. Pause for a moment at the bottom of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions."
,cable side crunch,abs,obliques,waist,cable,,,,,,"Attach a cable handle to a low pulley and stand sideways to the machine. Grasp the handle with the hand furthest from the machine and place your other hand on your hip. Keep your feet shoulder-width apart and your knees slightly bent. With your abs engaged, bend sideways at the waist, bringing your elbow down towards your hip. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions, then switch sides."
,cable side bend crunch (bosu ball),abs,obliques,waist,cable,,,,,,"Stand with your feet shoulder-width apart, holding a cable handle in one hand. Place the other hand on your hip. Engage your core and slowly bend sideways towards the hand holding the cable, keeping your back straight. Pause for a moment at the bottom of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions, then switch sides."
,cable side bend,abs,obliques,waist,cable,,,,,,"Stand with your feet shoulder-width apart and grasp the cable handle with one hand. Keep your back straight and your core engaged. Slowly bend sideways at the waist, lowering the cable handle towards your knee. Pause for a moment, then return to the starting position. Repeat on the other side. Alternate sides for the desired number of repetitions."
,cable seated twist,abs,obliques,waist,cable,,,,,,"Sit on a cable machine with your feet flat on the ground and your knees slightly bent. Hold the cable handle with both hands and extend your arms straight in front of you. Keeping your core engaged, slowly rotate your torso to one side, pulling the cable across your body. Pause for a moment at the end of the range of motion, then slowly rotate back to the starting position. Repeat on the other side. Continue alternating sides for the desired number of repetitions."
,cable twist,abs,obliques,waist,cable,,,,,,"Stand with your feet shoulder-width apart, facing the cable machine. Hold the cable handle with both hands in front of your chest, keeping your arms slightly bent. Engage your core and twist your torso to the right, pulling the cable across your body. Pause for a moment at the end of the movement, feeling the contraction in your abs and obliques. Slowly return to the starting position, resisting the cable's pull. Repeat the movement to the left side. Continue alternating sides for the desired number of repetitions."
,cable tuck reverse crunch,abs,hip flexors,waist,cable,,,,,,"Attach a cable to a low pulley and lie down on a mat facing up. Hold the cable with both hands and extend your arms straight up above your chest. Bend your knees and lift your legs up, bringing your knees towards your chest. At the same time, curl your pelvis up towards your chest, lifting your hips off the ground. Pause for a moment at the top, then slowly lower your legs and hips back down to the starting position. Repeat for the desired number of repetitions."
,cable twist (up-down),abs,"obliques, lower back",waist,cable,,,,,,"Stand with your feet shoulder-width apart, facing the cable machine. Hold the cable handle with both hands in front of your chest, keeping your arms slightly bent. Engage your core and slowly rotate your torso to one side, keeping your hips and legs stable. Pause for a moment at the end of the rotation, then slowly return to the starting position. Repeat the rotation to the opposite side. Continue alternating sides for the desired number of repetitions."
,cable seated crunch,abs,obliques,waist,cable,,,,,,"Sit on a cable machine with your feet flat on the ground and your knees bent. Hold the cable handle with both hands and position it behind your head. Engage your abs and slowly curl your upper body forward, bringing your chest towards your knees. Pause for a moment at the top, then slowly return to the starting position. Repeat for the desired number of repetitions."
,cable kneeling crunch,abs,obliques,waist,cable,,,,,,"Attach a rope handle to a high pulley and kneel down facing away from the machine. Hold the rope handle with both hands and place it behind your head, keeping your elbows out to the sides. Keeping your hips stationary, flex your waist and crunch your torso down towards your thighs. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions."
,dumbbell side bend,abs,obliques,waist,dumbbell,,,,,,"Stand up straight with your feet shoulder-width apart and hold a dumbbell in one hand, letting it hang down by your side. Keeping your back straight and your core engaged, slowly bend sideways at the waist towards the opposite side of the dumbbell, lowering the weight as far as you comfortably can. Pause for a moment, then slowly return to the starting position. Repeat for the desired number of repetitions, then switch sides and repeat."
,kettlebell advanced windmill,abs,"obliques, shoulders",waist,kettlebell,,,,,,"Stand with your feet wider than shoulder-width apart, toes pointing slightly outward. Hold a kettlebell in your right hand, with your arm extended overhead and your palm facing forward. Rotate your left foot slightly to the right, and shift your weight onto your left leg. Bend your left knee and hinge at the hip, lowering your torso towards the left side. Keep your right arm extended overhead and your eyes on the kettlebell. As you lower your torso, allow your right leg to straighten and your right foot to pivot slightly. Lower your torso until you feel a stretch in your left hamstring and your right arm is pointing towards the ground. Pause for a moment, then engage your core and push through your left heel to return to the starting position. Repeat for the desired number of repetitions, then switch sides."
,lever seated leg raise crunch,abs,hip flexors,waist,leverage machine,,,,,,"Sit on the leverage machine with your back against the backrest and your feet on the footrests. Grasp the handles or sidebars for stability. Engage your abs and slowly raise your legs up towards your chest, curling your torso forward at the same time. Pause for a moment at the top, then slowly lower your legs and torso back to the starting position. Repeat for the desired number of repetitions."
,lever seated crunch,abs,obliques,waist,leverage machine,,,,,,"Sit on the leverage machine with your back against the pad and your feet flat on the floor. Grasp the handles or place your hands on the side pads for support. Engage your abs and slowly lean back, allowing the pad to move with you. Once your upper body is at a 45-degree angle, contract your abs and crunch forward, bringing your chest towards your knees. Pause for a moment at the top, then slowly release and return to the starting position. Repeat for the desired number of repetitions."
,roller body saw,abs,"shoulders, triceps, core",waist,roller,,,,,,"Start in a plank position with your forearms on the roller and your body in a straight line. Engage your core and slowly roll the roller forward, extending your body as far as you can while maintaining control. Pause for a moment at the furthest point, then slowly roll the roller back towards your starting position. Repeat for the desired number of repetitions."
,pull-in (on stability ball),abs,hip flexors,waist,stability ball,,,,,,"Start by sitting on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. Place your hands on the sides of the stability ball for support. Engage your abs and slowly roll your hips forward, bringing your knees towards your chest. Pause for a moment at the top of the movement, then slowly extend your legs back to the starting position. Repeat for the desired number of repetitions."
,prone twist on stability ball,abs,"obliques, lower back",waist,stability ball,,,,,,"Start by lying face down on a stability ball with your feet shoulder-width apart and your toes touching the ground. Place your hands behind your head or cross them over your chest. Engage your core muscles and slowly lift your upper body off the ball, keeping your back straight. Rotate your torso to one side, bringing your shoulder towards your hip. Keep your hips and legs stable throughout the movement. Pause for a moment, then return to the starting position. Repeat the rotation to the other side. Continue alternating sides for the desired number of repetitions."
,stability ball crunch (full range hands behind head),abs,hip flexors,waist,stability ball,,,,,,"Sit on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly curl your upper body forward, bringing your chest towards your knees. Pause for a moment at the top, then slowly lower your upper body back to the starting position. Repeat for the desired number of repetitions."
,crunch (on stability ball),abs,hip flexors,waist,stability ball,,,,,,"Sit on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle. Lie back on the ball until your lower back is supported and your upper body is parallel to the floor. Place your hands behind your head or across your chest. Engage your abs and lift your upper body towards your knees, curling your torso forward. Pause for a moment at the top of the movement, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,otis up,abs,"hip flexors, lower back",waist,weighted,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,weighted crunch,abs,obliques,waist,weighted,,,,,,"Lie flat on your back with your knees bent and feet flat on the ground. Hold a weight plate or dumbbell on your chest. Engage your abs and lift your upper body off the ground, curling forward until your shoulder blades are off the ground. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
,weighted decline sit-up,abs,"hip flexors, lower back",waist,weighted,,,,,,"Lie flat on a decline bench with your feet secured under the foot pads. Place your hands behind your head or across your chest. Engage your abs and slowly lift your upper body off the bench, curling forward until your torso is perpendicular to the ground. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
